1 2 1	1095171960 2004-9-14
6 45 1	1096140900 2004-9-25
5 45 1	1096247340 2004-9-27
145 45 1	1096252440 2004-9-27
3 45 1	1096262160 2004-9-27
37 45 1	1096319940 2004-9-27
146 141 -1	1095834300 2004-9-22
147 141 -1	1095834420 2004-9-22
81 141 -1	1095834420 2004-9-22
10 141 -1	1095841440 2004-9-22
74 141 -1	1095843600 2004-9-22
11 141 -1	1095845520 2004-9-22
142 141 -1	1095847920 2004-9-22
148 141 -1	1095858720 2004-9-22
20 141 -1	1095862200 2004-9-22
8 141 -1	1095872040 2004-9-22
83 141 1	1095874920 2004-9-22
68 141 -1	1095894720 2004-9-22
129 141 -1	1095899580 2004-9-23
58 141 -1	1095900660 2004-9-23
30 141 -1	1096064700 2004-9-24
149 141 -1	1096129440 2004-9-25
6 141 -1	1096141500 2004-9-25
5 141 1	1096247580 2004-9-27
54 81 1	1095837060 2004-9-22
10 81 1	1095841380 2004-9-22
11 81 1	1095842940 2004-9-22
63 81 1	1095854100 2004-9-22
143 81 1	1095862740 2004-9-22
20 81 1	1095868680 2004-9-22
35 81 1	1095868860 2004-9-22
8 81 1	1095872100 2004-9-22
129 81 1	1095899760 2004-9-23
29 81 1	1095944340 2004-9-23
19 81 1	1095992340 2004-9-24
6 81 1	1096140840 2004-9-25
5 81 1	1096247460 2004-9-27
150 81 1	1096320180 2004-9-27
61 81 1	1096373640 2004-9-28
21 81 1	1096383600 2004-9-28
42 151 1	1095854820 2004-9-22
11 151 1	1095862260 2004-9-22
35 151 1	1095868980 2004-9-22
8 151 1	1095871860 2004-9-22
25 151 1	1095886080 2004-9-22
33 151 1	1095890520 2004-9-22
19 151 1	1095899580 2004-9-23
129 151 1	1095900060 2004-9-23
10 151 1	1096004400 2004-9-24
6 151 1	1096140960 2004-9-25
5 151 1	1096247280 2004-9-27
54 151 1	1096250040 2004-9-27
144 151 -1	1096385520 2004-9-28
23 151 1	1096423500 2004-9-29
8 152 -1	1095872640 2004-9-22
27 152 -1	1095873000 2004-9-22
20 152 -1	1095876660 2004-9-22
35 152 -1	1095894480 2004-9-22
58 152 -1	1095900420 2004-9-23
54 152 -1	1095998580 2004-9-24
6 152 -1	1096140780 2004-9-25
5 152 1	1096247520 2004-9-27
68 152 -1	1096317720 2004-9-27
55 152 1	1096418760 2004-9-29
94 152 -1	1096419540 2004-9-29
153 152 -1	1107172860 2005-1-31
33 154 1	1095890820 2004-9-22
35 154 1	1095894360 2004-9-22
19 154 1	1095899520 2004-9-23
129 154 1	1095899700 2004-9-23
42 154 1	1095899760 2004-9-23
142 154 1	1095900720 2004-9-23
20 154 1	1095902280 2004-9-23
70 154 1	1095907920 2004-9-23
43 154 1	1095917220 2004-9-23
31 154 1	1095936660 2004-9-23
84 154 1	1095955260 2004-9-23
81 154 1	1095957900 2004-9-23
9 154 1	1095969360 2004-9-23
8 154 1	1095978180 2004-9-23
10 154 1	1096004340 2004-9-24
144 154 1	1096036020 2004-9-24
78 154 1	1096055460 2004-9-24
23 154 1	1096115160 2004-9-25
11 154 1	1096119180 2004-9-25
6 154 1	1096141080 2004-9-25
150 154 1	1096235580 2004-9-26
5 154 1	1096247280 2004-9-27
21 154 1	1096383480 2004-9-28
55 154 1	1096417560 2004-9-29
100 119 1	1095893220 2004-9-22
35 119 1	1095893580 2004-9-22
49 119 1	1095896460 2004-9-22
25 119 1	1095897060 2004-9-22
19 119 1	1095899460 2004-9-23
23 119 1	1095901260 2004-9-23
33 119 1	1095901440 2004-9-23
86 119 -1	1095902100 2004-9-23
14 119 1	1095903960 2004-9-23
27 119 1	1095933840 2004-9-23
8 119 1	1095977700 2004-9-23
120 119 1	1095984240 2004-9-24
17 119 1	1096059720 2004-9-24
11 119 1	1096119000 2004-9-25
6 119 1	1096141140 2004-9-25
5 119 1	1096247220 2004-9-27
54 119 1	1096249320 2004-9-27
3 119 -1	1096261980 2004-9-27
42 119 1	1096289940 2004-9-27
49 23 1	1095896880 2004-9-22
54 23 1	1095897300 2004-9-22
33 23 1	1095898200 2004-9-23
82 23 1	1095898800 2004-9-23
19 23 1	1095899460 2004-9-23
86 23 -1	1095903120 2004-9-23
155 23 1	1095906420 2004-9-23
9 23 1	1095969300 2004-9-23
8 23 1	1095977580 2004-9-23
10 23 1	1096003920 2004-9-24
35 23 1	1096039920 2004-9-24
142 23 1	1096056660 2004-9-24
15 23 1	1096077660 2004-9-25
11 23 1	1096118940 2004-9-25
6 23 1	1096141260 2004-9-25
14 23 1	1096175280 2004-9-26
5 23 1	1096247160 2004-9-27
145 23 1	1096252200 2004-9-27
3 23 1	1096261620 2004-9-27
37 23 1	1096319820 2004-9-27
156 23 1	1096369260 2004-9-28
45 23 1	1096464660 2004-9-29
23 157 -1	1096000560 2004-9-24
58 157 -1	1096003980 2004-9-24
71 157 -1	1096046820 2004-9-24
5 157 1	1096247460 2004-9-27
158 157 1	1096280520 2004-9-27
159 157 -1	1096377960 2004-9-28
65 142 1	1096128600 2004-9-25
149 142 1	1096129320 2004-9-25
25 142 1	1096129560 2004-9-25
6 142 1	1096141320 2004-9-25
11 142 1	1096142820 2004-9-25
8 142 1	1096144620 2004-9-25
35 142 1	1096147500 2004-9-25
49 142 1	1096153860 2004-9-25
160 142 1	1096257240 2004-9-27
3 142 -1	1096261140 2004-9-27
42 142 1	1096289880 2004-9-27
79 142 1	1096296780 2004-9-27
39 142 1	1096318080 2004-9-27
19 142 1	1096337580 2004-9-28
10 142 1	1096373220 2004-9-28
45 142 1	1096464780 2004-9-29
161 142 1	1096494900 2004-9-29
54 142 1	1096506420 2004-9-30
20 162 1	1096555140 2004-9-30
62 162 1	1096555980 2004-9-30
163 162 1	1096556220 2004-9-30
36 162 1	1096559940 2004-9-30
27 162 1	1096561200 2004-9-30
23 162 1	1096564680 2004-9-30
86 162 1	1096567200 2004-9-30
17 162 1	1096567860 2004-9-30
30 162 1	1096576020 2004-9-30
49 162 1	1096579860 2004-9-30
11 162 1	1096632240 2004-10-1
8 162 1	1096667280 2004-10-1
134 162 1	1096684620 2004-10-2
79 162 1	1096719840 2004-10-2
19 162 1	1096732980 2004-10-2
164 162 1	1096739640 2004-10-2
165 162 1	1096761480 2004-10-2
166 162 1	1096773480 2004-10-3
167 162 1	1096782840 2004-10-3
35 162 1	1096838220 2004-10-3
10 162 1	1096897260 2004-10-4
168 162 1	1096922760 2004-10-4
21 162 1	1096946820 2004-10-5
54 162 1	1096947780 2004-10-5
14 162 1	1096974180 2004-10-5
6 162 1	1097066460 2004-10-6
58 162 1	1097118660 2004-10-7
23 169 -1	1096838220 2004-10-3
24 169 -1	1096846080 2004-10-3
42 169 -1	1096857000 2004-10-4
170 169 1	1096879500 2004-10-4
74 169 1	1096894620 2004-10-4
171 169 1	1096896180 2004-10-4
140 169 1	1096896720 2004-10-4
172 169 -1	1096897140 2004-10-4
10 169 1	1096897260 2004-10-4
86 169 1	1096897320 2004-10-4
11 169 1	1096897380 2004-10-4
9 169 -1	1096897560 2004-10-4
71 169 -1	1096901160 2004-10-4
34 169 1	1096901640 2004-10-4
4 169 -1	1096902240 2004-10-4
173 169 1	1096902840 2004-10-4
12 169 -1	1096903560 2004-10-4
174 169 1	1096905000 2004-10-4
30 169 1	1096907340 2004-10-4
17 169 1	1096914960 2004-10-4
18 169 -1	1096916160 2004-10-4
68 169 -1	1096918320 2004-10-4
8 169 1	1096923000 2004-10-4
175 169 -1	1096923300 2004-10-4
82 169 1	1096923540 2004-10-4
35 169 1	1096925520 2004-10-4
49 169 1	1096926600 2004-10-4
46 169 1	1096926960 2004-10-4
25 169 1	1096929060 2004-10-4
19 169 1	1096946940 2004-10-5
39 169 -1	1096958040 2004-10-5
14 169 -1	1096973700 2004-10-5
37 169 -1	1096999920 2004-10-5
176 169 1	1097002500 2004-10-5
64 169 1	1097009640 2004-10-5
134 169 1	1097010000 2004-10-5
27 169 1	1097022900 2004-10-6
163 169 -1	1097038500 2004-10-6
177 169 -1	1097052540 2004-10-6
26 169 1	1097052960 2004-10-6
178 169 1	1097067180 2004-10-6
3 169 -1	1097086860 2004-10-6
179 169 -1	1097091000 2004-10-6
180 169 -1	1097097060 2004-10-6
181 169 -1	1097098200 2004-10-6
52 169 1	1097100720 2004-10-6
182 169 -1	1097102280 2004-10-6
156 169 -1	1097104020 2004-10-6
15 169 1	1097105100 2004-10-6
13 169 -1	1097118780 2004-10-7
51 169 1	1097122980 2004-10-7
136 169 1	1097147940 2004-10-7
183 169 1	1097184960 2004-10-7
184 169 -1	1097185320 2004-10-7
97 169 -1	1097194320 2004-10-8
41 169 1	1097197800 2004-10-8
185 169 -1	1097206200 2004-10-8
143 169 1	1097217240 2004-10-8
55 169 1	1097217780 2004-10-8
186 169 -1	1097355240 2004-10-9
69 169 1	1097389440 2004-10-10
187 169 -1	1097391060 2004-10-10
188 169 -1	1097392980 2004-10-10
189 169 -1	1097394000 2004-10-10
190 169 -1	1097394720 2004-10-10
191 169 -1	1097395320 2004-10-10
1 169 1	1097395680 2004-10-10
192 169 -1	1097395980 2004-10-10
167 169 -1	1097396880 2004-10-10
193 169 -1	1097397120 2004-10-10
194 169 1	1097400480 2004-10-10
195 169 -1	1097423880 2004-10-10
196 169 1	1101059640 2004-11-21
25 197 1	1096895820 2004-10-4
20 197 1	1096901820 2004-10-4
45 197 1	1096911540 2004-10-4
33 197 1	1096918800 2004-10-4
35 197 1	1096922640 2004-10-4
8 197 1	1096923480 2004-10-4
19 197 1	1096946820 2004-10-5
11 197 1	1096949520 2004-10-5
14 197 1	1096974060 2004-10-5
31 197 1	1096984560 2004-10-5
51 197 1	1097018040 2004-10-5
34 197 1	1097019960 2004-10-5
6 197 1	1097067060 2004-10-6
134 197 1	1097081940 2004-10-6
120 197 1	1097089440 2004-10-6
58 197 1	1097096160 2004-10-6
13 197 1	1097218500 2004-10-8
42 197 1	1097242200 2004-10-8
166 197 1	1097295060 2004-10-9
198 197 1	1097435940 2004-10-10
10 197 1	1097488020 2004-10-11
12 199 1	1096942020 2004-10-5
200 199 1	1096942620 2004-10-5
11 199 1	1096946040 2004-10-5
19 199 1	1096946700 2004-10-5
86 199 1	1096953240 2004-10-5
21 199 1	1096966560 2004-10-5
14 199 1	1096974000 2004-10-5
113 199 1	1096994940 2004-10-5
35 199 1	1097008620 2004-10-5
8 199 1	1097012700 2004-10-5
6 199 1	1097067000 2004-10-6
58 199 1	1097095920 2004-10-6
55 199 1	1097216640 2004-10-8
192 199 1	1097302860 2004-10-9
69 199 1	1097389200 2004-10-10
45 199 1	1097482740 2004-10-11
10 199 1	1097488020 2004-10-11
37 199 1	1097503200 2004-10-11
140 25 1	1096942080 2004-10-5
201 25 1	1096942500 2004-10-5
4 25 -1	1096943460 2004-10-5
202 25 1	1096943880 2004-10-5
11 25 1	1096946040 2004-10-5
203 25 1	1096949040 2004-10-5
86 25 -1	1096951680 2004-10-5
79 25 1	1096968060 2004-10-5
14 25 1	1096973880 2004-10-5
42 25 1	1096974780 2004-10-5
9 25 1	1096977000 2004-10-5
204 25 1	1096998720 2004-10-5
37 25 1	1096999740 2004-10-5
19 25 1	1097006700 2004-10-5
35 25 1	1097008620 2004-10-5
49 25 1	1097008920 2004-10-5
51 25 1	1097010900 2004-10-5
205 25 1	1097011020 2004-10-5
206 25 1	1097012400 2004-10-5
8 25 1	1097012640 2004-10-5
142 25 1	1097014560 2004-10-5
3 25 1	1097019780 2004-10-5
29 25 1	1097019960 2004-10-5
119 25 1	1097031600 2004-10-6
26 25 1	1097053080 2004-10-6
6 25 1	1097066880 2004-10-6
134 25 1	1097081820 2004-10-6
17 25 1	1097085720 2004-10-6
120 25 1	1097089320 2004-10-6
33 25 1	1097089800 2004-10-6
45 25 1	1097090700 2004-10-6
62 25 1	1097108100 2004-10-7
58 25 1	1097118360 2004-10-7
13 25 -1	1097118420 2004-10-7
130 25 1	1097142840 2004-10-7
135 25 1	1097172300 2004-10-7
207 25 -1	1097177160 2004-10-7
43 25 -1	1097179620 2004-10-7
208 25 1	1097183640 2004-10-7
97 25 1	1097194560 2004-10-8
36 25 1	1097199120 2004-10-8
139 25 1	1097248560 2004-10-8
209 25 1	1097249220 2004-10-8
210 25 -1	1097283180 2004-10-9
211 25 -1	1097335140 2004-10-9
1 25 1	1097351580 2004-10-9
186 25 -1	1097354400 2004-10-9
212 25 -1	1097381940 2004-10-10
69 25 1	1097389320 2004-10-10
213 25 -1	1097401740 2004-10-10
65 25 1	1097417580 2004-10-10
196 25 1	1097420160 2004-10-10
198 25 1	1097435820 2004-10-10
214 25 -1	1097436540 2004-10-10
215 25 -1	1097482140 2004-10-11
15 25 1	1097483340 2004-10-11
216 25 1	1097521320 2004-10-11
194 25 1	1097525640 2004-10-11
217 25 1	1097533320 2004-10-11
7 25 1	1097542380 2004-10-12
218 25 1	1097549040 2004-10-12
160 25 1	1097551320 2004-10-12
219 25 1	1097561880 2004-10-12
10 25 1	1097562420 2004-10-12
146 25 -1	1097567340 2004-10-12
55 25 1	1097569200 2004-10-12
220 25 1	1097572980 2004-10-12
221 25 1	1097573400 2004-10-12
222 25 1	1097576100 2004-10-12
223 25 1	1097588460 2004-10-12
24 25 1	1097594580 2004-10-12
67 25 -1	1097615520 2004-10-12
224 25 -1	1097623800 2004-10-12
225 25 1	1097625360 2004-10-12
226 25 1	1097625480 2004-10-12
54 25 1	1097629800 2004-10-13
94 25 1	1097632080 2004-10-13
227 25 1	1097632920 2004-10-13
12 228 1	1096943100 2004-10-5
19 228 1	1096945560 2004-10-5
21 228 1	1096945560 2004-10-5
11 228 1	1096945980 2004-10-5
86 228 -1	1096951140 2004-10-5
9 228 1	1096977000 2004-10-5
37 228 1	1096999740 2004-10-5
35 228 1	1097008800 2004-10-5
20 228 1	1097009880 2004-10-5
8 228 1	1097012580 2004-10-5
51 228 1	1097018100 2004-10-5
6 228 1	1097066760 2004-10-6
134 228 1	1097081880 2004-10-6
14 228 1	1097101860 2004-10-6
43 228 1	1097179200 2004-10-7
42 228 1	1097242200 2004-10-8
129 228 1	1097276460 2004-10-8
45 228 1	1097310900 2004-10-9
211 228 1	1097333160 2004-10-9
10 228 1	1097487840 2004-10-11
25 228 1	1097522220 2004-10-11
13 228 1	1098169320 2004-10-19
82 229 1	1096963680 2004-10-5
130 229 1	1096968180 2004-10-5
11 229 1	1096974840 2004-10-5
31 229 1	1096984500 2004-10-5
23 229 1	1096987680 2004-10-5
37 229 1	1097000040 2004-10-5
19 229 1	1097006820 2004-10-5
49 229 1	1097008800 2004-10-5
35 229 1	1097008860 2004-10-5
68 229 1	1097009520 2004-10-5
20 229 1	1097009760 2004-10-5
8 229 1	1097012460 2004-10-5
142 229 1	1097014620 2004-10-5
51 229 1	1097017980 2004-10-5
3 229 1	1097019660 2004-10-5
34 229 1	1097019960 2004-10-5
119 229 1	1097031540 2004-10-6
6 229 1	1097066940 2004-10-6
36 229 1	1097075340 2004-10-6
134 229 1	1097081700 2004-10-6
33 229 1	1097089740 2004-10-6
25 229 1	1097093760 2004-10-6
21 229 1	1097116860 2004-10-7
13 229 1	1097118180 2004-10-7
86 229 -1	1097158440 2004-10-7
43 229 1	1097179140 2004-10-7
97 229 1	1097194440 2004-10-8
41 229 1	1097197500 2004-10-8
185 229 1	1097211360 2004-10-8
70 229 1	1097214480 2004-10-8
55 229 1	1097218260 2004-10-8
42 229 1	1097242200 2004-10-8
129 229 1	1097276760 2004-10-8
140 229 1	1097348220 2004-10-9
198 229 1	1097435820 2004-10-10
45 229 1	1097482320 2004-10-11
